n_steps;n_d;n_a;gamma;best_valid_acc
3.0;8.0;8.0;1.0;0.9361592142672526
3.0;8.0;8.0;1.2;0.9532178857585939
3.0;8.0;8.0;1.4;0.9234944430085293
3.0;8.0;8.0;1.6;0.9187990006030844
3.0;8.0;8.0;1.8;0.9163866632204704
3.0;8.0;8.0;2.0;0.9057034548117515
3.0;24.0;24.0;1.0;0.9903937279228052
3.0;24.0;24.0;1.2;0.9844059619195313
3.0;24.0;24.0;1.4;0.9837167226673559
3.0;24.0;24.0;1.6;0.9817351598173516
3.0;24.0;24.0;1.8;0.9738519858705953
3.0;24.0;24.0;2.0;0.9699750150771086
3.0;40.0;40.0;1.0;0.9939260790902041
3.0;40.0;40.0;1.2;0.9931937623847679
3.0;40.0;40.0;1.4;0.9821228568967003
3.0;40.0;40.0;1.6;0.9909106573619367
3.0;40.0;40.0;1.8;0.9912121995347635
3.0;40.0;40.0;2.0;0.9877229258206255
3.0;56.0;56.0;1.0;0.991815283880417
3.0;56.0;56.0;1.2;0.9932368398380288
3.0;56.0;56.0;1.4;0.9923322133195486
3.0;56.0;56.0;1.6;0.9898337210304127
3.0;56.0;56.0;1.8;0.9845351942793142
3.0;56.0;56.0;2.0;0.9821228568967003
4.0;8.0;8.0;1.0;0.9510640130955458
4.0;8.0;8.0;1.2;0.9125527698802447
4.0;8.0;8.0;1.4;0.8649091065736194
4.0;8.0;8.0;1.6;0.8260532437322305
4.0;8.0;8.0;1.8;0.7315413112776773
4.0;8.0;8.0;2.0;0.79740673731369
4.0;24.0;24.0;1.0;0.9779443439303869
4.0;24.0;24.0;1.2;0.966054966830361
4.0;24.0;24.0;1.4;0.9466701128629276
4.0;24.0;24.0;1.6;0.9182820711639528
4.0;24.0;24.0;1.8;0.8786077367106057
4.0;24.0;24.0;2.0;0.8596967347290428
4.0;40.0;40.0;1.0;0.9928491427586801
4.0;40.0;40.0;1.2;0.9763935556129921
4.0;40.0;40.0;1.4;0.927500646161799
4.0;40.0;40.0;1.6;0.9370207633324718
4.0;40.0;40.0;1.8;0.9315068493150684
