class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;1.72;x;s;y;f;d;c;w;7.01;2.36;c;t;y;f;f;f;f;w;h;u
e;9.59;f;e;b;f;d;c;b;4.73;20.49;b;s;w;u;u;t;f;u;d;a
p;0.86;x;g;p;f;a;c;p;4.25;1.05;c;s;k;p;o;f;f;u;d;s
p;4.32;x;d;e;f;x;c;w;4.91;6.58;u;y;w;p;k;f;f;n;d;u
e;2.8;x;s;w;f;d;d;w;3.13;5.69;u;d;w;f;f;f;f;w;m;a
p;1.18;s;s;y;f;f;f;f;3.39;5.6;e;y;y;p;o;f;f;n;d;u
p;2.46;b;d;p;f;a;c;r;5.03;6.05;s;t;r;u;n;f;f;k;g;a
p;16.04;x;k;w;t;d;d;w;5.2;27.48;c;t;w;u;w;f;f;u;d;u
e;15.55;x;s;w;t;e;c;g;12.36;19.06;s;s;w;p;w;t;r;b;m;a
e;5.76;x;t;y;t;x;c;y;8.11;17.69;s;d;w;u;e;f;f;e;d;u
e;11.53;x;t;n;t;p;c;y;8.99;18.61;b;g;n;u;w;t;p;e;d;a
e;1.48;x;w;g;f;a;d;k;5.39;2.56;s;d;w;u;e;f;f;k;d;u
e;12.59;x;k;n;t;e;c;w;12.33;15.4;b;g;w;u;w;t;r;w;d;u
p;3.11;x;t;n;f;s;c;p;4.66;6.83;b;g;w;u;n;t;z;r;d;a
p;6.52;x;e;e;f;a;c;y;7.47;10.31;b;g;n;u;w;t;z;w;d;a
p;9.7;x;t;u;t;x;c;n;8.08;18.21;s;h;g;p;u;f;f;n;d;a
p;3.45;f;s;o;f;d;c;o;3.38;6.01;c;d;o;f;f;f;f;u;m;a
p;5.83;c;i;y;f;d;c;n;6.67;8.43;b;s;w;p;e;f;f;p;d;u
e;4.87;f;y;n;f;s;c;g;4.74;7.41;c;y;w;f;f;f;f;u;d;a
